path	size_bytes	git_blob_oid	lfs_sha256	lfs_size_bytes
data/val/clear_the_kitchen_counter/episode_9b2f49d7-515a-44b4-8c96-23715a796b09/episode.fo.mcap	228875350	0594bb54dd6f4cb29198894aad8f5481420fb30c	1eae441c163e61e4d5bd1947c5b86b363c6fc3862abe25f88ee4c1a8fa84a019	228875350
data/val/distribute_texas_hold_em_gaming_equipment/episode_0c58609a-cc9e-47ce-9675-72aa481784c7/episode.fo.mcap	294640294	6b2082478f5d851d966fc0752586f8997efdcbf3	860c753db2b5571caa0bf7ecea4dd607dbcb03048addd6ca7ecd7bd857b2ac03	294640294
data/val/fold_a_paper_plane_with_a_square_sheet_of_paper_pick_it_up_from_the_middle/episode_e55cc103-bbdb-4ea8-99e9-86261cde32f2/episode.fo.mcap	74094750	1980d9b0cda74022a67e8d671128a3fb4240ee36	045e2cea43138d529f9d29dd5cc873102d1f27edf874e2c244133c6f0c8fd90f	74094750
data/val/fold_and_stack_the_skirts/episode_aa015e3a-8cb9-4e03-93a9-900fac9ae6b8/episode.fo.mcap	15932137	5bfd445c9673e6f6e2f8135ecbbd93c5d96f71e6	7bd77206bd252919b682f5033d251ed1905e303c552c69a77ccd496c32703490	15932137
data/val/fold_the_inside_out_t_shirt/episode_c7fbe5d9-5cef-4b6c-9be7-552d02680a79/episode.fo.mcap	82905877	884253fbf6063a437d34bdd8cb92b917ed1758fd	63827d67b1e392b864e74d5cd3975a09b8fed68d58e24002591dafe78bc6e74e	82905877
data/val/insert_the_plug/episode_fffa456e-057a-4898-9f09-2361e52dba1a/episode.fo.mcap	55281674	7d70dafbef9be553eff726cdaaa7edc0a9f7ff20	d5786da86d39fa7761a5a09edb37325e2f8f8367f94911fe1ab7d4c19889d142	55281674
data/val/load_the_bowls_into_the_dish_rack/episode_cf92e181-b2de-48c8-8839-5a5d46db6a95/episode.fo.mcap	74009247	e6d93e335ecb8c446649c8ea802c0ca29302ffc6	da599ee58acd8c9c0e3962897b59eb92519a43d6301fa064652d0408267f5887	74009247
data/val/load_the_staples_into_the_stapler/episode_c6c0f6bf-b6f7-4364-8a73-e4755bfb98b6/episode.fo.mcap	96946725	99ce98b22280d6d9094bbab740b42643cbf9209c	09007e32fe6bf7014110e0042c40bdc2b60565d5751a75030b3640222ec755f3	96946725
data/val/open_the_umbrella/episode_ebcbf9d1-d42b-4ef1-b3be-cad29b11edf8/episode.fo.mcap	86979183	b010f8a9fc0b6b3fdfd0aa26de77861dfa406544	ce540606e24d346e2f27f558395dcb31ab59aa8aa268e83757558fe34046fde1	86979183
data/val/organize_the_hangers/episode_b6b9ea5e-fb51-4bed-9d97-620984782392/episode.fo.mcap	54634983	58b6ec9aabc6ddbf9758a7fb80a857ee0d8e8713	12e696b4f61e28f5d9ba906630feb091f1814bd0b04724f28e01b71774cc262e	54634983
data/val/organize_the_sunglasses/episode_f2424b5e-bde5-41ff-9993-1e409355f68a/episode.fo.mcap	76904033	d472c7f01bb5be188ced7e99783632e6480a23a8	6e114d1fe5f2ccb19799038773124d37cd05a9f8b249ad5bcd0bf62261e857ab	76904033
